,sys_enter_sendto_timestamps,net_dev_xmit_timestamps,latency
0,"['0', '662877077208']","['0', '662877209464']",132256
1,"['1', '662877214767']","['1', '662877266764']",51997
2,"['2', '662877270156']","['2', '662877359353']",89197
3,"['3', '662877363780']","['3', '662877411200']",47420
4,"['4', '662877413956']","['4', '662877459900']",45944
5,"['5', '662877463597']","['5', '662877512765']",49168
6,"['6', '662877515746']","['6', '662877565199']",49453
7,"['7', '662877567954']","['7', '662877614336']",46382
8,"['8', '662877617443']","['8', '662877669094']",51651
9,"['9', '662877673487']","['9', '662877722720']",49233
10,"['10', '662877725844']","['10', '662877781455']",55611
11,"['11', '662877784491']","['11', '662877835467']",50976
12,"['12', '662877838714']","['12', '662877888292']",49578
13,"['13', '662877890975']","['13', '662877935999']",45024
14,"['14', '662877938598']","['14', '662877987618']",49020
15,"['15', '662877990658']","['15', '662878039968']",49310
16,"['16', '662878042849']","['16', '662878092396']",49547
17,"['17', '662878095229']","['17', '662878144919']",49690
18,"['18', '662878148027']","['18', '662878194436']",46409
19,"['19', '662878197504']","['19', '662878245054']",47550
20,"['20', '662878247730']","['20', '662878293492']",45762
21,"['21', '662878296081']","['21', '662878344211']",48130
22,"['22', '662878346937']","['22', '662878392853']",45916
23,"['23', '662878395605']","['23', '662878444473']",48868
24,"['24', '662878447266']","['24', '662878501521']",54255
25,"['25', '662878504214']","['25', '662878550317']",46103
26,"['26', '662878553074']","['26', '662878600475']",47401
27,"['27', '662878603133']","['27', '662878649416']",46283
28,"['28', '662878652217']","['28', '662878705581']",53364
29,"['29', '662878708605']","['29', '662878759012']",50407
30,"['30', '662878762036']","['30', '662878805177']",43141
31,"['31', '662878807699']","['31', '662878846846']",39147
32,"['32', '662878849790']","['32', '662878889062']",39272
33,"['33', '662878891645']","['33', '662878930998']",39353
34,"['34', '662878933470']","['34', '662878972851']",39381
35,"['35', '662878975446']","['35', '662879014459']",39013
36,"['36', '662879017027']","['36', '662879060421']",43394
37,"['37', '662879079835']","['37', '662879133804']",53969
38,"['38', '662879136853']","['38', '662879191365']",54512
39,"['39', '662879194273']","['39', '662879246635']",52362
40,"['40', '662879249776']","['40', '662879299086']",49310
41,"['41', '662879302282']","['41', '662879353646']",51364
42,"['42', '662879356783']","['42', '662879407657']",50874
43,"['43', '662879410700']","['43', '662879459845']",49145
44,"['44', '662879462827']","['44', '662879513787']",50960
45,"['45', '662879516742']","['45', '662879566299']",49557
46,"['46', '662879569540']","['46', '662879620242']",50702
47,"['47', '662879623138']","['47', '662879672874']",49736
48,"['48', '662879676054']","['48', '662879727114']",51060
49,"['49', '662879730116']","['49', '662879782277']",52161
50,"['50', '662879785455']","['50', '662879840789']",55334
51,"['51', '662879843692']","['51', '662879897658']",53966
52,"['52', '662879901118']","['52', '662879951622']",50504
53,"['53', '662879954685']","['53', '662880002555']",47870
54,"['54', '662880005966']","['54', '662880186551']",180585
55,"['55', '662880204780']","['55', '662880263610']",58830
56,"['56', '662880267192']","['56', '662880315993']",48801
57,"['57', '662880319074']","['57', '662880365034']",45960
58,"['58', '662880368068']","['58', '662880418719']",50651
59,"['59', '662880421646']","['59', '662880468501']",46855
60,"['60', '662880471658']","['60', '662880518203']",46545
61,"['61', '662880521188']","['61', '662880567848']",46660
62,"['62', '662880571109']","['62', '662880618165']",47056
63,"['63', '662880621189']","['63', '662880667042']",45853
64,"['64', '662880670033']","['64', '662880715758']",45725
65,"['65', '662880718696']","['65', '662880764118']",45422
66,"['66', '662880767326']","['66', '662880818608']",51282
67,"['67', '662880821923']","['67', '662880879267']",57344
68,"['68', '662880882610']","['68', '662880934289']",51679
69,"['69', '662880937336']","['69', '662880990207']",52871
70,"['70', '662880993237']","['70', '662881053231']",59994
71,"['71', '662881056249']","['71', '662881117786']",61537
72,"['72', '662881120741']","['72', '662881172653']",51912
73,"['73', '662881175577']","['73', '662881231054']",55477
74,"['74', '662881233955']","['74', '662881286159']",52204
75,"['75', '662881289206']","['75', '662881344780']",55574
76,"['76', '662881347697']","['76', '662881400756']",53059
77,"['77', '662881403572']","['77', '662881567484']",163912
78,"['78', '662881570633']","['78', '662881630234']",59601
79,"['79', '662881633320']","['79', '662881686599']",53279
80,"['80', '662881690663']","['80', '662881766840']",76177
81,"['81', '662881769460']","['81', '662881806758']",37298
82,"['82', '662881809218']","['82', '662881846283']",37065
83,"['83', '662881848799']","['83', '662881889490']",40691
84,"['84', '662881892382']","['84', '662881950778']",58396
85,"['85', '662881953511']","['85', '662881991281']",37770
86,"['86', '662881993785']","['86', '662882030771']",36986
87,"['87', '662882033175']","['87', '662882070458']",37283
88,"['88', '662882072950']","['88', '662882120114']",47164
89,"['89', '662882123138']","['89', '662882171060']",47922
90,"['90', '662882173953']","['90', '662882221180']",47227
91,"['91', '662882224115']","['91', '662882273786']",49671
92,"['92', '662882277033']","['92', '662882322976']",45943
93,"['93', '662882325865']","['93', '662882375693']",49828
94,"['94', '662882378698']","['94', '662882426458']",47760
95,"['95', '662882429294']","['95', '662882475709']",46415
96,"['96', '662882478895']","['96', '662882529003']",50108
97,"['97', '662882532159']","['97', '662882581993']",49834
98,"['98', '662882585155']","['98', '662882665938']",80783
99,"['99', '662882669286']","['99', '662882720874']",51588
100,"['100', '662882724075']","['100', '662882775132']",51057
101,"['101', '662882778298']","['101', '662882830361']",52063
102,"['102', '662882833436']","['102', '662882886790']",53354
103,"['103', '662882889741']","['103', '662882940898']",51157
104,"['104', '662882943885']","['104', '662882993924']",50039
105,"['105', '662882996956']","['105', '662883047769']",50813
106,"['106', '662883050593']","['106', '662883099603']",49010
107,"['107', '662883102525']","['107', '662883152691']",50166
108,"['108', '662883155583']","['108', '662883207588']",52005
109,"['109', '662883210656']","['109', '662883252654']",41998
110,"['110', '662883255425']","['110', '662883303372']",47947
111,"['111', '662883306671']","['111', '662883354905']",48234
112,"['112', '662883357943']","['112', '662883406844']",48901
113,"['113', '662883410215']","['113', '662883461163']",50948
114,"['114', '662883464793']","['114', '662883522130']",57337
115,"['115', '662883525221']","['115', '662883564764']",39543
116,"['116', '662883567359']","['116', '662883605844']",38485
117,"['117', '662883608582']","['117', '662883646216']",37634
118,"['118', '662883648895']","['118', '662883688594']",39699
119,"['119', '662883691177']","['119', '662883730086']",38909
120,"['120', '662883732635']","['120', '662883770831']",38196
121,"['121', '662883773463']","['121', '662883811590']",38127
122,"['122', '662883814326']","['122', '662883852635']",38309
123,"['123', '662883855189']","['123', '662883893054']",37865
124,"['124', '662883895607']","['124', '662883941037']",45430
125,"['125', '662883943765']","['125', '662883982756']",38991
126,"['126', '662883985321']","['126', '662884025363']",40042
127,"['127', '662884027926']","['127', '662884067747']",39821
128,"['128', '662884070325']","['128', '662884109884']",39559
129,"['129', '662884112432']","['129', '662884239357']",126925
130,"['130', '662884242187']","['130', '662884283789']",41602
131,"['131', '662884286469']","['131', '662884326126']",39657
132,"['132', '662884328743']","['132', '662884376470']",47727
133,"['133', '662884379992']","['133', '662884432610']",52618
134,"['134', '662884435597']","['134', '662884492852']",57255
135,"['135', '662884496231']","['135', '662884551562']",55331
136,"['136', '662884555033']","['136', '662884614428']",59395
137,"['137', '662884617493']","['137', '662884674869']",57376
138,"['138', '662884677896']","['138', '662884734724']",56828
139,"['139', '662884738132']","['139', '662884792046']",53914
140,"['140', '662884795156']","['140', '662884850709']",55553
141,"['141', '662884853827']","['141', '662884908680']",54853
142,"['142', '662884912012']","['142', '662884968981']",56969
143,"['143', '662884972170']","['143', '662885026741']",54571
144,"['144', '662885029962']","['144', '662885084717']",54755
145,"['145', '662885087880']","['145', '662885143720']",55840
146,"['146', '662885146987']","['146', '662885215788']",68801
147,"['147', '662885219058']","['147', '662885274799']",55741
148,"['148', '662885277807']","['148', '662885352831']",75024
149,"['149', '662885356036']","['149', '662885414013']",57977
150,"['150', '662885417253']","['150', '662885472798']",55545
151,"['151', '662885475904']","['151', '662885537081']",61177
152,"['152', '662885540205']","['152', '662885596227']",56022
153,"['153', '662885599454']","['153', '662885653135']",53681
154,"['154', '662885656403']","['154', '662885712540']",56137
155,"['155', '662885715604']","['155', '662885776907']",61303
156,"['156', '662885780082']","['156', '662885836330']",56248
157,"['157', '662885839405']","['157', '662885894458']",55053
158,"['158', '662885897460']","['158', '662885954357']",56897
159,"['159', '662885957777']","['159', '662886009185']",51408
160,"['160', '662886012428']","['160', '662886067417']",54989
161,"['161', '662886070614']","['161', '662886126576']",55962
162,"['162', '662886129739']","['162', '662886184998']",55259
163,"['163', '662886188285']","['163', '662886245504']",57219
164,"['164', '662886248902']","['164', '662886305841']",56939
165,"['165', '662886308949']","['165', '662886365898']",56949
166,"['166', '662886369186']","['166', '662886425682']",56496
167,"['167', '662886428764']","['167', '662886484150']",55386
168,"['168', '662886487388']","['168', '662886543414']",56026
169,"['169', '662886546518']","['169', '662886601892']",55374
170,"['170', '662886604921']","['170', '662886661905']",56984
171,"['171', '662886664914']","['171', '662886720434']",55520
172,"['172', '662886724057']","['172', '662886781360']",57303
173,"['173', '662886784515']","['173', '662886839691']",55176
174,"['174', '662886843149']","['174', '662886899984']",56835
175,"['175', '662886903362']","['175', '662886969403']",66041
176,"['176', '662886973010']","['176', '662887031254']",58244
177,"['177', '662887034475']","['177', '662887086633']",52158
178,"['178', '662887089997']","['178', '662887142902']",52905
179,"['179', '662887145980']","['179', '662887198050']",52070
180,"['180', '662887201326']","['180', '662887253307']",51981
181,"['181', '662887256431']","['181', '662887318329']",61898
182,"['182', '662887321626']","['182', '662887378497']",56871
183,"['183', '662887381806']","['183', '662887436555']",54749
184,"['184', '662887439813']","['184', '662887494632']",54819
185,"['185', '662887497659']","['185', '662887552213']",54554
186,"['186', '662887555422']","['186', '662887609908']",54486
187,"['187', '662887613222']","['187', '662887664806']",51584
188,"['188', '662887667703']","['188', '662887721130']",53427
189,"['189', '662887724617']","['189', '662887778756']",54139
190,"['190', '662887781892']","['190', '662887838138']",56246
