,sys_enter_sendto_timestamps,net_dev_xmit_timestamps,net_dev_start_xmit_timestamps,sendto_to_start_latency,start_to_xmit_latency,latency
0,"['0', 1954268969515]","['0', 1954269159675]","['0', 1954268977047]",7532,182628,190160
1,"['1', 1954270183117]","['1', 1954270369697]","['1', 1954270189992]",6875,179705,186580
2,"['2', 1954270570605]","['2', 1954270732399]","['2', 1954270574812]",4207,157587,161794
3,"['3', 1954270878724]","['3', 1954271034381]","['3', 1954270882158]",3434,152223,155657
4,"['4', 1954271182281]","['4', 1954271335744]","['4', 1954271185319]",3038,150425,153463
5,"['5', 1954271474922]","['5', 1954271627758]","['5', 1954271477863]",2941,149895,152836
6,"['6', 1954271761877]","['6', 1954272117676]","['6', 1954271764904]",3027,352772,355799
7,"['7', 1954272900756]","['7', 1954273053733]","['7', 1954272904860]",4104,148873,152977
8,"['8', 1954273339891]","['8', 1954273492344]","['8', 1954273343422]",3531,148922,152453
9,"['9', 1954273794128]","['9', 1954273946571]","['9', 1954273797659]",3531,148912,152443
